Fecha | ID | Estado | Agente | Nombre Entidad
2017-12-11 | 20171920368 | Delinquent      | Edward Hidalgo            | TOP TRADELINES LLC, Delinquent January 1, 2022
2017-12-12 | 20171922446 | Delinquent      | Edward Hidalgo            | FAST UNSECURED LLC, Delinquent August 1, 2023
2017-12-13 | 20171924904 | Delinquent      | Edward Hidalgo            | DELETION EXPERT LLC, Delinquent January 1, 2022
2017-12-18 | 20171931787 | Delinquent      | Edward Hidalgo            | INQUIRY BUSTERS LLC, Delinquent January 1, 2022
2017-12-31 | 20171976370 | Delinquent      | BRANDON LEWIS             | Thinker Systems Inc., Delinquent May 1, 2020
2017-12-31 | 20171976392 | Delinquent      | JASON MORGAN              | OSYS ENTERPRISE INC., Delinquent May 1, 2020
2017-12-31 | 20171976402 | Delinquent      | Edward Hidalgo            | BROAD LINES INC., Delinquent May 1, 2019
2017-12-31 | 20171976419 | Delinquent      | Edward Hidalgo            | ARROWHEAD TECHNOLOGY INC., Delinquent May 1, 2019
2017-12-31 | 20171976432 | Delinquent      | John Lott                 | TOPSOUND SYSTEMS INC., Delinquent May 1, 2020
2017-12-31 | 20171976484 | Delinquent      | HERMAN BROWN              | CO RENTAL SERVICES INC., Delinquent May 1, 2020
2017-12-31 | 20171976548 | Delinquent      | Steven March              | UCO INTERNATIONAL INC., Delinquent May 1, 2020
2017-12-31 | 20171976448 | Delinquent      | ARKADII TARANTIN          | FOOTHILL SERVICES INC.
2017-12-31 | 20171976440 | Delinquent      | HARDIK SHAH               | BGSEVEN SYSTEMS INC., Delinquent February 1, 2021
2017-12-31 | 20171976453 | Delinquent      | ANANI KOSSIGAN            | HILLTECH SERVICES INC., Delinquent April 1, 2023
2017-12-31 | 20171976462 | Delinquent      | NATHAN HIGHAM             | WESTERN SYSTEMS INC., Delinquent March 1, 2021
2017-12-31 | 20171976476 | Delinquent      | STEPHEN MONIZ             | VSERVICES PRODUCTIONS INC., Delinquent August 1, 2021
2017-12-31 | 20171976495 | Delinquent      | MICHAEL FITZSIMMONS       | UNITEDCLUB SERVICES INC., Delinquent August 1, 2021
2017-12-31 | 20171976509 | Delinquent      | EZAT ANDARMANI            | WPK MANAGEMENT INC., Delinquent February 1, 2021
2017-12-31 | 20171976522 | Delinquent      | Christopher Dortch        | ZPS CORPORATE SYSTEMS INC., Delinquent July 1, 2021
2017-12-31 | 20171976560 | Delinquent      | SHANNON WHELCHEL          | DUSTY ROAD SERVICES INC., Delinquent February 1, 2021
2017-12-31 | 20171976571 | Delinquent      | TROJAN NOBLE              | WESTERN ROAD SERVICES INC., Delinquent July 1, 2021
2017-12-31 | 20171976579 | Delinquent      | Nicholas DiMarco          | GTFS INTERNATIONAL INC., Delinquent June 1, 2021
2017-12-31 | 20171976602 | Delinquent      | NICOLE BURDOCK            | COASTLINE MANAGEMENT SERVICES INC., Delinquent March 1, 2021
2018-12-20 | 20188009660 | Delinquent      | Cyre John                 | TWENTY ONE DAYS CREDIT FIX INC., Delinquent October 1, 2024
2018-12-22 | 20188012552 | Delinquent      | Nurjahn Hernandez         | MAGELUS TAX SERVICES INC., Delinquent November 1, 2021
2019-02-15 | 20191135068 | Delinquent      | Anwar Sands               | GIZMO GROUP INC., Delinquent February 1, 2022
2019-02-15 | 20191135258 | Delinquent      | DEMETRIUS MCCRIMMON       | MEGAWHEEL TEAM INC., Delinquent July 1, 2021
2019-02-15 | 20191135642 | Delinquent      | Erik Carapet              | ROADAX INTERNATIONAL INC., Delinquent July 1, 2021
2019-02-15 | 20191135439 | Delinquent      | Shahid Avraham            | ROADRED SYSTEMS INC., Delinquent June 1, 2022
2019-02-15 | 20191135528 | Delinquent      | INDIGO ALLENDORF          | TOP CONSULTO TEAM INC., Delinquent October 1, 2023
2019-02-15 | 20191135565 | Delinquent      | Sunncearay Davis          | ADB CONSULTANCY TEAM INC., Delinquent December 1, 2024
2019-02-15 | 20191135393 | Delinquent      | Mario Thomas              | ECO TECHNICAL GROUP INC.
2019-02-18 | 20191139249 | Voluntarily Dis | GREGORY ARMAND            | NJ TECHNO SOURCE INC., Dissolved July 25, 2023
2019-02-18 | 20191139300 | Delinquent      | FEEMUN DOGAR              | ABCTRADE MANAGEMENT INC., Delinquent December 1, 2023
2019-02-18 | 20191139422 | Voluntarily Dis | Raul Zavala Corona        | ZEEBUSINESS SOLUTIONS INC., Dissolved November 19, 2024
2019-02-18 | 20191139015 | Delinquent      | ANNANTA JACKMAN           | VENTER GROUP SOLUTIONS INC., Delinquent January 1, 2022
2019-02-18 | 20191139068 | Delinquent      | Cedrian Ahkumaaru         | TENNUMBER EXPERT TEAM INC., Delinquent September 1, 2022
2019-02-18 | 20191139108 | Delinquent      | RASHIDA MOBLEY            | MEGARUN ROAD SYSTEMS INC., Delinquent January 1, 2022
2019-02-18 | 20191139174 | Delinquent      | Christopher Delgado       | KUALA TEAM SOLUTIONS INC., Delinquent February 1, 2022
2019-02-18 | 20191139375 | Delinquent      | Freddie Young             | DARD RANGE SYSTEMS INC., Delinquent May 1, 2022
2019-02-18 | 20191139488 | Delinquent      | Chan Heard                | EXPO VENTURES INC., Delinquent October 1, 2023
2019-02-18 | 20191139518 | Delinquent      | Brian Crocker             | HIGHSKILL LEAVEL GROUP INC., Delinquent March 1, 2022
2019-02-26 | 20191173889 | Voluntarily Dis | Andrew Grinde             | MINO INTERNATIONAL GROUP INC., Dissolved July 26, 2022
2019-02-26 | 20191175070 | Delinquent      | Carlos Thomas             | SAFEWAY GROUP INTERNATIONAL INC., Delinquent July 1, 2021
2019-02-26 | 20191174068 | Delinquent      | Gerald Poole              | RECARDO MANAGEMENT GROUP INC., Delinquent January 1, 2022
2019-02-26 | 20191174206 | Delinquent      | Jafari Moore              | BLUEROAD INTERNATIONAL TEAM INC., Delinquent June 1, 2022
2019-02-26 | 20191174409 | Delinquent      | GEORGE KALOKERINOS        | COUNTRY ROAD TEAM INC., Delinquent March 1, 2022
2019-02-26 | 20191174650 | Delinquent      | George Kalokerinos        | COOPER CONSULTING TEAM INC., Delinquent March 1, 2022
2019-02-26 | 20191174730 | Delinquent      | GEORGE KALOKERINOS        | MARSROAD GROUP INC., Delinquent March 1, 2022
2019-02-26 | 20191174917 | Delinquent      | ARCHIMA MAJOR             | POLYNEST INTERNATIONAL TEAM INC., Delinquent January 1, 2022
2019-02-26 | 20191175223 | Delinquent      | Obafemi Odusina           | TOP BLACK ROAD SYSTEMS INC., Delinquent February 1, 2022
2019-02-26 | 20191175306 | Delinquent      | Michael Lee               | CENTURY CONSULTANT GROUP INC., Delinquent January 1, 2022
2019-02-26 | 20191175360 | Delinquent      | Rolando Dumagan           | MEDPRO INTERNATIONAL INC., Delinquent March 1, 2022
2019-02-26 | 20191175428 | Delinquent      | ANTHONY PERKINS           | WESTPOINT INTERNATIONAL GROUP INC., Delinquent February 1, 2022
2019-02-26 | 20191174322 | Delinquent      | Amir Faquir               | MACTECH SYSTEMATIC GROUP INC., Delinquent November 1, 2024
2019-03-04 | 20191198915 | Delinquent      | Emmon Khan                | WGL INTERNATIONAL HOLDING INC., Delinquent July 1, 2025
2019-03-04 | 20191198193 | Delinquent      | Brian B Suh               | ROADCAMP VENTURE GROUP INC., Delinquent May 1, 2022
2019-03-04 | 20191198702 | Delinquent      | GEORGE KALOKERINOSK       | CITY MEDVALUE STORE INC., Delinquent March 1, 2022
2019-03-04 | 20191198959 | Delinquent      | EUGENE COHILL             | NORTHWEST ROAD INTERNATIONAL INC., Delinquent February 1, 2022
2019-03-04 | 20191198886 | Delinquent      | Micah Holmes              | WILLIAM GROUP INDUSTRIES INC., Delinquent November 1, 2023
2019-03-04 | 20191198261 | Delinquent      | Alvono Bernard Frazier Bu | WEBSYS TECHNICAL GROUP INC., Delinquent May 1, 2025
2019-03-04 | 20191198461 | Delinquent      | Charlton Hobson           | SEMPRA ENERGY CONSULTANTS INC., Delinquent May 1, 2022
2019-03-04 | 20191198526 | Delinquent      | Gustavo Gonzalez          | SUNTRUST CONSULTANCY GROUP INC., Delinquent April 1, 2022
2019-03-04 | 20191198571 | Delinquent      | Kandace Mason             | TELNET MANAGEMENT GROUP INC., Delinquent May 1, 2022
2019-03-04 | 20191198640 | Delinquent      | Dwayne Selman-Neville     | UNISYS SUPER INDUSTRIES INC., Delinquent July 1, 2022
2019-03-04 | 20191198766 | Delinquent      | JAMES R BEHN              | WENDY INTERNATIONAL GROUP INC., Delinquent April 1, 2022
2019-03-04 | 20191198831 | Delinquent      | Marcus McGowan            | TOP TEAM WHOLESALER INC.
2019-03-05 | 20191201819 | Delinquent      | DANIEL WHITE              | AMERICAN TRAVELCENTER GROUP INC., Delinquent February 1, 2022
2019-03-11 | 20191216662 | Delinquent      | Lissette Anderson         | CONSULTING GURUS GROUP INC., Delinquent February 1, 2022
2019-03-11 | 20191216758 | Noncompliant    | Jessica Maribel Barrous   | DANTREE INTERNATIONAL SYSTEMS INC.
2019-03-11 | 20191216924 | Delinquent      | Tahler Simpkins           | SPEEDTECH INTERNATIONAL MANAGEMENT INC., Delinquent March 1, 2022
2019-03-11 | 20191217323 | Delinquent      | EDWARD HIDALGO            | TRUEMEDS INTERNATIONAL GROUP INC., Delinquent August 1, 2020
2019-03-11 | 20191217292 | Delinquent      | WALTER H RICE             | DOCTORTRUST MEDICO GROUP INC., Delinquent February 1, 2022
